Number of Targets, Time, Plan Length, Num Satellites, Num Modes, Num Instruments, Num Observations
3, 0.007015474999889193, 8, 10, 5, 10, 2
3, 0.00876068499997018, 10, 10, 5, 10, 2
3, 0.010841082000069946, 13, 10, 5, 10, 2
3, 0.011207569999896805, 13, 10, 5, 10, 2
4, 0.008735253999930137, 6, 10, 5, 10, 2
4, 0.01105540799994742, 13, 10, 5, 10, 2
4, 0.010840654000048744, 12, 10, 5, 10, 2
4, 0.009218897999971887, 10, 10, 5, 10, 2
4, 0.007168634999970891, 8, 10, 5, 10, 2
4, 0.01340105000008407, 8, 10, 5, 10, 2
4, 0.010588556000129756, 12, 10, 5, 10, 2
4, 0.0047416739998880075, 6, 10, 5, 10, 2
4, 0.010626711999975669, 13, 10, 5, 10, 2
4, 0.01067758700014565, 12, 10, 5, 10, 2
4, 0.01055321100011497, 10, 10, 5, 10, 2
4, 0.011303780999924129, 13, 10, 5, 10, 2
4, 0.010836808000021847, 13, 10, 5, 10, 2
4, 0.009553438000011738, 11, 10, 5, 10, 2
4, 0.005724999999983993, 7, 10, 5, 10, 2
4, 0.01835128600009739, 15, 10, 5, 10, 2
4, 0.010550019999982396, 11, 10, 5, 10, 2
4, 0.01301869999997507, 9, 10, 5, 10, 2
4, 0.00796751799998674, 9, 10, 5, 10, 2
4, 0.01106735700000172, 8, 10, 5, 10, 2
4, 0.009267178000072818, 11, 10, 5, 10, 2
4, 0.008102302999986932, 9, 10, 5, 10, 2
4, 0.0050184910001007665, 6, 10, 5, 10, 2
4, 0.006851783999991312, 7, 10, 5, 10, 2
4, 0.011941869999873234, 9, 10, 5, 10, 2
4, 0.0068148170000768005, 8, 10, 5, 10, 2
4, 0.010638258999961181, 12, 10, 5, 10, 2
4, 0.01133433499990133, 8, 10, 5, 10, 2
4, 0.009098932999904719, 10, 10, 5, 10, 2
4, 0.00930359199992381, 12, 10, 5, 10, 2
4, 0.012326653999934933, 15, 10, 5, 10, 2
4, 0.009974683000109508, 12, 10, 5, 10, 2
4, 0.007963437000171325, 9, 10, 5, 10, 2
4, 0.010903599999892322, 11, 10, 5, 10, 2
